pavement,event,model_avg_temp,observed_avg_temp
CP,event_1,27.45,
CP,event_2,27.96,
CP,event_3,19.53,
CP,event_4,7.5,
CP,event_5,16.16,
CP,event_6,20.02,
CP,event_7,23.2,
PICP,event_1,30.14,32.18
PICP,event_2,27.2,27.58
PICP,event_3,21.3,24.73
PICP,event_4,8.47,11.32
PICP,event_5,15.26,15.95
PICP,event_6,23.8,24.54
PICP,event_7,23.8,25.03
PGr,event_1,30.27,28.26
PGr,event_2,27.11,25.01
PGr,event_3,21.79,22.9
PGr,event_4,8.94,8.4
PGr,event_5,15.61,15.36
PGr,event_6,24.12,22.72
PGr,event_7,24.29,23.26
PA,event_1,32.72,32.76
PA,event_2,29.41,28.43
PA,event_3,23.34,25.0
PA,event_4,12.04,12.77
PA,event_5,17.67,16.44
PA,event_6,26.78,24.21
PA,event_7,26.19,25.09
PC,event_1,30.83,31.29
PC,event_2,27.8,26.97
PC,event_3,21.71,23.07
PC,event_4,9.37,11.09
PC,event_5,15.8,15.59
PC,event_6,24.51,23.26
PC,event_7,24.26,24.11
