date,AirTemperature,RelativeHumidity,DewPoint,CloudCoverage,WindSpeed,SolarRadiation,PavementTemperature,Rainfall
2023-05-15 16:00:00-06:00,22.5,0.9,20.8,1.0,3.55,438.0,42.46041666666667,
2023-05-15 17:00:00-06:00,22.8,0.86,20.2,1.0,1.63,214.0,38.802499999999995,
2023-05-15 18:00:00-06:00,23.3,0.77,18.9,1.0,1.5,116.0,35.23657407407408,
2023-05-15 19:00:00-06:00,22.7,0.83,19.6,1.0,2.31,24.0,32.39282407407408,
2023-05-15 20:00:00-06:00,20.3,0.9,18.6,1.0,3.14,2.0,29.78888888888889,
2023-05-15 21:00:00-06:00,19.8,0.91,18.2,1.0,1.42,0.0,27.32268518518518,
2023-05-15 22:00:00-06:00,19.7,0.92,18.3,1.0,2.09,0.0,26.252546296296295,
2023-05-15 23:00:00-06:00,19.2,0.95,18.4,1.0,1.5,0.0,25.869444444444444,
2023-05-16 00:00:00-06:00,18.9,0.97,18.4,1.0,0.9,0.0,25.50694444444444,
2023-05-16 01:00:00-06:00,18.7,0.97,18.3,1.0,1.71,0.0,25.364583333333332,
2023-05-16 02:00:00-06:00,18.7,0.97,18.2,1.0,0.78,0.0,25.218055555555555,
2023-05-16 03:00:00-06:00,18.7,0.97,18.2,1.0,1.17,0.0,25.000462962962963,
2023-05-16 04:00:00-06:00,18.4,0.98,18.0,1.0,1.02,0.0,24.806944444444436,
2023-05-16 05:00:00-06:00,18.1,0.98,17.7,1.0,1.3,0.0,24.58819444444444,
2023-05-16 06:00:00-06:00,19.3,0.98,18.9,1.0,3.11,2.0,24.24930555555556,
2023-05-16 07:00:00-06:00,20.0,0.97,19.5,1.0,1.8,61.0,24.47083333333333,
2023-05-16 08:00:00-06:00,20.7,0.92,19.4,1.0,2.73,132.0,26.198148148148146,
2023-05-16 09:00:00-06:00,21.3,0.87,19.0,1.0,2.09,215.0,28.549305555555556,
2023-05-16 10:00:00-06:00,23.0,0.77,18.7,1.0,2.14,378.0,33.778009259259264,
2023-05-16 11:00:00-06:00,24.9,0.69,18.8,1.0,1.7,529.0,37.359027777777776,
2023-05-16 12:00:00-06:00,26.4,0.62,18.6,1.0,2.69,710.0,39.81481481481481,
2023-05-16 13:00:00-06:00,27.1,0.59,18.4,1.0,3.04,751.0,41.79375,
2023-05-16 14:00:00-06:00,27.4,0.57,18.3,1.0,3.21,734.0,44.71296296296296,
2023-05-16 15:00:00-06:00,26.3,0.59,17.6,1.0,2.64,583.0,27.97060185185185,
2023-05-16 16:00:00-06:00,26.1,0.6,17.7,1.0,1.81,405.0,26.339120370370367,
2023-05-16 17:00:00-06:00,25.8,0.61,17.8,1.0,1.51,242.0,25.216203703703705,
2023-05-16 18:00:00-06:00,21.2,0.94,20.2,1.0,1.3,147.0,25.078472222222228,
2023-05-16 19:00:00-06:00,20.8,0.98,20.4,1.0,1.94,23.0,25.616666666666667,
2023-05-16 20:00:00-06:00,20.2,0.95,19.4,1.0,2.06,2.0,25.306018518518524,
2023-05-16 21:00:00-06:00,19.8,0.98,19.4,1.0,1.5,0.0,24.84583333333333,
2023-05-16 22:00:00-06:00,19.5,0.99,19.3,1.0,1.12,0.0,24.377314814814813,
2023-05-16 23:00:00-06:00,19.1,0.98,18.9,0.99,0.32,0.0,23.87407407407407,
2023-05-17 00:00:00-06:00,18.6,0.99,18.5,1.0,1.13,0.0,23.369444444444444,
2023-05-17 01:00:00-06:00,18.7,0.98,18.4,1.0,1.94,0.0,22.911342592592597,
2023-05-17 02:00:00-06:00,18.6,0.98,18.2,1.0,2.01,0.0,22.66064814814815,
2023-05-17 03:00:00-06:00,18.3,0.98,18.0,1.0,1.98,0.0,22.226388888888884,
2023-05-17 04:00:00-06:00,18.0,0.98,17.8,1.0,2.2,0.0,21.873611111111114,
2023-05-17 05:00:00-06:00,17.8,0.99,17.6,0.99,1.97,0.0,21.553703703703704,
2023-05-17 06:00:00-06:00,18.2,0.96,17.6,1.0,1.73,3.0,21.27847222222222,
2023-05-17 07:00:00-06:00,19.4,0.94,18.4,0.55,1.36,92.0,22.015046296296294,
2023-05-17 08:00:00-06:00,21.3,0.91,19.8,0.19,0.71,276.0,24.267824074074078,
2023-05-17 09:00:00-06:00,23.6,0.79,19.7,0.13,0.94,492.0,29.86898148148148,
2023-05-17 10:00:00-06:00,25.7,0.63,18.2,0.28,1.12,690.0,32.854166666666664,
2023-05-17 11:00:00-06:00,27.1,0.52,16.3,0.36,0.51,716.0,33.57060185185185,
2023-05-17 12:00:00-06:00,28.3,0.47,15.8,0.28,0.41,850.0,39.69259259259259,
2023-05-17 13:00:00-06:00,29.1,0.42,14.9,0.42,0.76,907.0,44.59097222222221,
