date,AirTemperature,RelativeHumidity,DewPoint,CloudCoverage,WindSpeed,SolarRadiation,PavementTemperature,Rainfall,BottomTemperature
2023-07-14 09:00:00-06:00,30.0,0.65,22.8,0.07,3.42,486.0,37.540740740740745,,
2023-07-14 10:00:00-06:00,32.1,0.56,22.2,0.0,3.5,679.0,40.837962962962955,,
2023-07-14 11:00:00-06:00,34.0,0.47,21.3,0.0,3.71,832.0,46.2125,,
2023-07-14 12:00:00-06:00,35.7,0.4,20.2,0.0,4.14,934.0,51.4212962962963,,
2023-07-14 13:00:00-06:00,37.2,0.33,18.3,0.0,4.88,976.0,55.87453703703703,,
2023-07-14 14:00:00-06:00,38.4,0.29,17.1,0.0,5.07,957.0,58.47407407407407,,
2023-07-14 15:00:00-06:00,38.9,0.26,16.0,0.08,5.08,874.0,59.869444444444454,,
2023-07-14 16:00:00-06:00,38.8,0.25,15.0,0.09,4.98,701.0,60.58287037037037,,
2023-07-14 17:00:00-06:00,38.5,0.25,14.8,0.09,4.95,544.0,59.286574074074075,,
2023-07-14 18:00:00-06:00,37.2,0.3,16.5,0.03,4.72,342.0,56.61388888888889,,
2023-07-14 19:00:00-06:00,34.9,0.42,20.0,0.01,4.8,146.0,51.916203703703694,,
2023-07-14 20:00:00-06:00,32.7,0.5,20.9,0.0,5.67,13.0,47.395833333333336,,
2023-07-14 21:00:00-06:00,30.8,0.59,21.9,0.0,5.76,0.0,43.8175925925926,,
2023-07-14 22:00:00-06:00,28.9,0.69,22.7,0.17,5.08,0.0,40.963425925925925,,
2023-07-14 23:00:00-06:00,27.8,0.74,22.7,0.75,4.48,0.0,38.4625,,
2023-07-15 00:00:00-06:00,27.1,0.76,22.4,0.95,4.18,0.0,36.34351851851852,,
2023-07-15 01:00:00-06:00,26.5,0.79,22.5,0.86,3.76,0.0,34.63425925925925,,
2023-07-15 02:00:00-06:00,26.0,0.79,22.2,0.71,3.57,0.0,33.3074074074074,,
2023-07-15 03:00:00-06:00,25.6,0.81,22.0,0.52,3.71,0.0,32.0412037037037,,
2023-07-15 04:00:00-06:00,25.1,0.85,22.4,0.33,3.41,0.0,31.35925925925926,,
2023-07-15 05:00:00-06:00,24.8,0.89,22.9,0.11,3.03,0.0,30.859259259259257,,
2023-07-15 06:00:00-06:00,25.2,0.9,23.5,0.1,3.51,2.0,30.218518518518515,,
2023-07-15 07:00:00-06:00,26.1,0.85,23.4,0.25,4.31,86.0,29.964351851851852,,
2023-07-15 08:00:00-06:00,27.6,0.76,23.1,0.06,3.98,250.0,31.59305555555556,,
2023-07-15 09:00:00-06:00,29.6,0.65,22.3,0.05,3.61,475.0,35.608796296296305,,
2023-07-15 10:00:00-06:00,31.8,0.53,21.0,0.0,3.69,675.0,40.48425925925926,,
2023-07-15 11:00:00-06:00,34.0,0.42,19.1,0.0,3.88,837.0,45.67592592592592,,
2023-07-15 12:00:00-06:00,35.8,0.34,17.3,0.0,3.83,940.0,50.92175925925926,,
2023-07-15 13:00:00-06:00,37.1,0.3,16.4,0.0,3.8,982.0,55.69305555555555,,
2023-07-15 14:00:00-06:00,38.1,0.27,15.6,0.0,3.52,960.0,59.093981481481485,,
2023-07-15 15:00:00-06:00,38.7,0.25,15.2,0.01,3.55,875.0,61.119444444444454,,
2023-07-15 16:00:00-06:00,38.7,0.23,14.0,0.0,3.79,738.0,61.53194444444444,,
2023-07-15 17:00:00-06:00,38.2,0.22,12.5,0.03,3.58,558.0,60.69259259259259,,
2023-07-15 18:00:00-06:00,37.5,0.23,13.1,0.02,3.08,348.0,57.90972222222223,,
2023-07-15 19:00:00-06:00,35.5,0.27,13.8,0.02,2.0,147.0,53.2912037037037,,
2023-07-15 20:00:00-06:00,33.7,0.32,14.9,0.02,4.48,13.0,48.82268518518518,,
2023-07-15 21:00:00-06:00,31.6,0.52,20.4,0.03,4.11,0.0,45.18749999999999,,
2023-07-15 22:00:00-06:00,30.4,0.58,21.2,0.04,4.33,0.0,42.23472222222222,,
2023-07-15 23:00:00-06:00,29.2,0.63,21.5,0.03,3.76,0.0,39.93796296296296,,
2023-07-16 00:00:00-06:00,28.1,0.68,21.6,0.01,2.95,0.0,37.95324074074074,,
2023-07-16 01:00:00-06:00,27.3,0.71,21.6,0.01,2.19,0.0,36.20833333333333,,
2023-07-16 02:00:00-06:00,26.5,0.75,21.7,0.01,1.96,0.0,34.69675925925926,,
2023-07-16 03:00:00-06:00,25.9,0.79,22.0,0.0,2.2,0.0,33.275925925925925,,
2023-07-16 04:00:00-06:00,25.4,0.83,22.3,0.0,2.42,0.0,31.993981481481477,,
2023-07-16 05:00:00-06:00,24.8,0.87,22.4,0.0,2.38,0.0,31.02083333333333,,
2023-07-16 06:00:00-06:00,24.0,0.95,23.2,0.0,2.67,1.0,30.161574074074075,,
2023-07-16 07:00:00-06:00,25.2,0.87,22.9,0.31,3.23,78.0,29.739814814814807,,
2023-07-16 08:00:00-06:00,27.0,0.76,22.4,0.18,3.16,262.0,31.483796296296298,,
2023-07-16 09:00:00-06:00,29.1,0.66,22.0,0.22,2.78,483.0,35.499074074074066,,
2023-07-16 10:00:00-06:00,31.4,0.54,21.0,0.03,2.19,675.0,39.713425925925925,,
2023-07-16 11:00:00-06:00,33.7,0.43,19.5,0.18,1.91,832.0,45.83240740740741,,
2023-07-16 12:00:00-06:00,35.6,0.34,17.3,0.0,2.0,929.0,51.55138888888889,,
2023-07-16 13:00:00-06:00,36.9,0.28,15.5,0.0,2.2,978.0,56.29166666666667,,
2023-07-16 14:00:00-06:00,37.8,0.25,14.4,0.02,2.28,953.0,59.427314814814814,,
2023-07-16 15:00:00-06:00,38.3,0.23,13.7,0.88,2.52,861.0,61.234259259259254,,
2023-07-16 16:00:00-06:00,38.2,0.23,13.1,0.07,2.5,690.0,62.2074074074074,,
2023-07-16 17:00:00-06:00,38.0,0.22,12.5,0.01,2.72,552.0,61.24444444444445,,
2023-07-16 18:00:00-06:00,37.0,0.25,13.9,0.03,3.16,350.0,58.29675925925926,,
2023-07-16 19:00:00-06:00,34.9,0.31,15.4,0.04,1.48,145.0,53.572685185185186,,
2023-07-16 20:00:00-06:00,33.1,0.33,14.5,0.01,2.5,13.0,49.13518518518518,,
2023-07-16 21:00:00-06:00,32.4,0.3,12.8,0.08,3.61,0.0,45.75370370370371,,
2023-07-16 22:00:00-06:00,30.3,0.55,20.2,0.62,4.36,0.0,42.775925925925925,,
2023-07-16 23:00:00-06:00,29.2,0.57,19.7,0.0,4.18,0.0,40.281018518518515,,
2023-07-17 00:00:00-06:00,28.0,0.59,19.3,0.0,3.49,0.0,38.275,,
2023-07-17 01:00:00-06:00,27.1,0.63,19.5,0.0,3.13,0.0,36.427314814814814,,
2023-07-17 02:00:00-06:00,26.3,0.66,19.5,0.0,2.7,0.0,34.93703703703704,,
2023-07-17 03:00:00-06:00,25.7,0.69,19.6,0.0,2.52,0.0,33.55694444444444,,
2023-07-17 04:00:00-06:00,25.2,0.73,19.9,0.0,3.01,0.0,32.270370370370365,,
2023-07-17 05:00:00-06:00,24.7,0.78,20.5,0.09,2.68,0.0,31.12407407407407,,
2023-07-17 06:00:00-06:00,23.9,0.86,21.5,0.0,2.55,1.0,30.067592592592593,,
2023-07-17 07:00:00-06:00,25.3,0.79,21.4,0.0,1.98,90.0,29.5412037037037,,
2023-07-17 08:00:00-06:00,27.3,0.66,20.5,0.0,2.76,287.0,31.422222222222224,,
2023-07-17 09:00:00-06:00,29.6,0.53,19.1,0.0,2.77,501.0,35.44722222222222,,
2023-07-17 10:00:00-06:00,32.1,0.4,16.8,0.0,2.37,697.0,40.61944444444445,,
2023-07-17 11:00:00-06:00,34.2,0.31,14.9,0.0,2.77,853.0,46.41064814814815,,
2023-07-17 12:00:00-06:00,35.9,0.25,13.1,0.0,3.01,957.0,51.93703703703704,,
2023-07-17 13:00:00-06:00,37.2,0.22,11.8,0.0,3.1,1000.0,56.411111111111104,,
2023-07-17 14:00:00-06:00,38.1,0.19,10.6,0.0,3.1,978.0,59.68842592592593,,
2023-07-17 15:00:00-06:00,38.6,0.18,10.3,0.0,2.91,892.0,61.79629629629629,,
2023-07-17 16:00:00-06:00,38.6,0.18,10.4,0.0,2.79,751.0,62.332870370370365,,
2023-07-17 17:00:00-06:00,38.2,0.19,10.6,0.0,2.82,566.0,61.18750000000001,,
2023-07-17 18:00:00-06:00,37.3,0.23,12.6,0.0,3.38,356.0,58.51064814814814,,
2023-07-17 19:00:00-06:00,35.7,0.26,13.2,0.02,2.64,147.0,53.63425925925925,,
2023-07-17 20:00:00-06:00,33.5,0.3,13.5,0.04,2.75,13.0,48.90092592592592,,
2023-07-17 21:00:00-06:00,32.7,0.33,14.2,0.02,3.3,0.0,45.493981481481484,,
2023-07-17 22:00:00-06:00,30.2,0.62,22.2,0.0,5.14,0.0,42.74398148148148,,
2023-07-17 23:00:00-06:00,28.8,0.68,22.4,0.0,4.07,0.0,40.223611111111104,,
2023-07-18 00:00:00-06:00,27.8,0.71,22.0,0.0,3.22,0.0,38.10324074074074,,
2023-07-18 01:00:00-06:00,27.0,0.74,21.9,0.0,2.52,0.0,36.29583333333333,,
2023-07-18 02:00:00-06:00,26.1,0.79,22.3,0.0,2.24,0.0,34.7912037037037,,
2023-07-18 03:00:00-06:00,25.5,0.85,22.7,0.0,2.01,0.0,33.375,,
2023-07-18 04:00:00-06:00,24.9,0.89,22.9,0.0,2.24,0.0,32.12407407407407,,
2023-07-18 05:00:00-06:00,24.6,0.9,22.9,0.0,2.72,0.0,31.09351851851851,,
2023-07-18 06:00:00-06:00,24.4,0.91,22.7,0.0,3.05,1.0,30.12962962962963,,
2023-07-18 07:00:00-06:00,25.6,0.83,22.5,0.04,3.09,87.0,29.670833333333324,,
2023-07-18 08:00:00-06:00,27.4,0.74,22.3,0.02,2.64,280.0,31.363888888888887,,
2023-07-18 09:00:00-06:00,29.5,0.63,21.7,0.0,2.06,490.0,35.59814814814815,,
2023-07-18 10:00:00-06:00,32.0,0.5,20.2,0.0,2.31,683.0,39.81111111111111,,
2023-07-18 11:00:00-06:00,34.1,0.41,18.9,0.0,2.63,838.0,47.52388888888889,,
2023-07-18 12:00:00-06:00,35.9,0.34,17.7,0.0,3.1,941.0,52.26018518518518,,
2023-07-18 13:00:00-06:00,37.4,0.29,16.3,0.0,3.41,984.0,56.75509259259259,,
2023-07-18 14:00:00-06:00,38.3,0.26,15.4,0.0,3.5,963.0,60.212962962962955,,
2023-07-18 15:00:00-06:00,38.8,0.24,14.9,0.0,3.06,879.0,62.19768518518519,,
2023-07-18 16:00:00-06:00,39.0,0.24,14.9,0.0,3.27,740.0,62.59305555555555,,
2023-07-18 17:00:00-06:00,38.7,0.24,14.4,0.04,3.61,557.0,61.47361111111111,,
2023-07-18 18:00:00-06:00,37.7,0.23,13.3,0.5,3.53,349.0,58.609722222222224,,
2023-07-18 19:00:00-06:00,36.3,0.25,13.1,0.02,2.85,142.0,53.64027777777778,,
2023-07-18 20:00:00-06:00,33.9,0.29,13.6,0.09,2.72,12.0,48.95231481481481,,
2023-07-18 21:00:00-06:00,33.0,0.28,12.2,0.0,3.55,0.0,45.44120370370371,,
2023-07-18 22:00:00-06:00,30.6,0.59,21.6,0.0,5.46,0.0,42.609259259259254,,
2023-07-18 23:00:00-06:00,29.2,0.65,22.0,0.0,4.57,0.0,40.10324074074074,,
2023-07-19 00:00:00-06:00,28.1,0.68,21.7,0.0,3.75,0.0,37.91111111111112,,
2023-07-19 01:00:00-06:00,27.3,0.73,22.0,0.07,3.22,0.0,36.20277777777778,,
2023-07-19 02:00:00-06:00,26.7,0.76,22.1,0.01,3.1,0.0,34.70277777777777,,
2023-07-19 03:00:00-06:00,26.1,0.8,22.3,0.0,3.16,0.0,33.39583333333333,,
2023-07-19 04:00:00-06:00,25.6,0.84,22.6,0.0,2.9,0.0,32.1662037037037,,
2023-07-19 05:00:00-06:00,25.1,0.86,22.7,0.0,2.81,0.0,31.07824074074074,,
2023-07-19 06:00:00-06:00,24.3,0.89,22.5,0.0,2.1,1.0,30.11435185185185,,
2023-07-19 07:00:00-06:00,25.6,0.81,22.2,0.05,2.7,85.0,29.79259259259259,,
2023-07-19 08:00:00-06:00,27.4,0.71,21.7,0.15,3.55,274.0,31.2337962962963,,
2023-07-19 09:00:00-06:00,29.3,0.63,21.5,0.02,3.04,460.0,35.170833333333334,,
2023-07-19 10:00:00-06:00,31.6,0.53,20.9,0.01,3.21,675.0,40.2449074074074,,
2023-07-19 11:00:00-06:00,33.8,0.44,19.9,0.0,3.6,835.0,45.895370370370365,,
2023-07-19 12:00:00-06:00,35.7,0.36,18.3,0.0,3.9,939.0,51.395370370370365,,
2023-07-19 13:00:00-06:00,37.0,0.31,16.9,0.0,3.9,982.0,55.843981481481485,,
2023-07-19 14:00:00-06:00,38.0,0.28,16.3,0.0,3.92,962.0,59.19861111111111,,
2023-07-19 15:00:00-06:00,38.5,0.26,15.8,0.02,4.04,877.0,61.2925925925926,,
2023-07-19 16:00:00-06:00,38.5,0.25,15.1,0.02,4.14,732.0,61.57361111111111,,
