date,AirTemperature,RelativeHumidity,DewPoint,CloudCoverage,WindSpeed,SolarRadiation,PavementTemperature,Rainfall,BottomTemperature
2023-07-03 20:00:00-06:00,30.5,0.47,17.9,1.0,4.56,13.0,31.569675925925917,,
2023-07-03 21:00:00-06:00,28.8,0.58,19.6,1.0,3.41,0.0,33.40578703703704,,
2023-07-03 23:00:00-06:00,28.4,0.59,19.5,1.0,3.52,0.0,37.30300925925926,,
2023-07-04 02:00:00-06:00,26.8,0.63,19.1,1.0,2.52,0.0,39.435858585858576,,
2023-07-04 04:00:00-06:00,26.5,0.68,20.0,1.0,2.47,0.0,47.17791666666667,,
2023-07-04 05:00:00-06:00,25.9,0.71,20.4,1.0,2.39,0.0,51.93533950617284,,
2023-07-04 06:00:00-06:00,25.2,0.87,22.9,1.0,3.5,1.0,53.75231481481481,,
2023-07-04 07:00:00-06:00,26.3,0.81,22.7,0.75,3.41,73.0,54.07222222222221,,
2023-07-04 08:00:00-06:00,27.2,0.76,22.5,1.0,3.67,176.0,52.89490740740741,,
2023-07-04 09:00:00-06:00,27.4,0.73,22.1,1.0,3.57,146.0,49.43923611111111,,
2023-07-04 10:00:00-06:00,28.4,0.66,21.4,1.0,2.75,228.0,45.799305555555556,,
2023-07-04 11:00:00-06:00,29.4,0.58,20.2,1.0,1.7,319.0,42.30652356902357,,
2023-07-04 12:00:00-06:00,30.3,0.51,19.1,0.88,2.06,420.0,39.44189814814815,,
2023-07-04 13:00:00-06:00,31.8,0.45,18.4,1.0,2.31,610.0,37.326388888888886,,
2023-07-04 14:00:00-06:00,32.5,0.43,18.4,0.99,1.92,571.0,35.393055555555556,,
2023-07-04 15:00:00-06:00,33.8,0.39,17.9,0.47,1.58,703.0,33.92916666666667,,
2023-07-04 16:00:00-06:00,34.7,0.35,16.9,0.21,1.75,616.0,32.85439814814815,,
2023-07-04 17:00:00-06:00,34.8,0.33,16.4,0.26,3.08,485.0,32.023148148148145,,
2023-07-04 18:00:00-06:00,34.3,0.35,16.6,0.68,2.86,325.0,31.59305555555556,,
2023-07-04 19:00:00-06:00,32.4,0.39,16.5,1.0,2.28,97.0,31.129398148148148,,
2023-07-04 20:00:00-06:00,29.3,0.62,21.3,1.0,3.64,12.0,30.7912037037037,,
2023-07-04 21:00:00-06:00,28.8,0.7,22.8,1.0,3.78,0.0,30.239351851851847,,
2023-07-04 22:00:00-06:00,28.3,0.73,23.1,0.96,4.12,0.0,30.095910493827155,,
2023-07-04 23:00:00-06:00,27.9,0.74,22.9,1.0,4.14,0.0,31.028009259259257,,
2023-07-05 00:00:00-06:00,27.1,0.73,21.9,0.93,3.72,0.0,33.6136574074074,,
2023-07-05 01:00:00-06:00,26.3,0.75,21.5,0.44,2.92,0.0,37.22638888888889,,
2023-07-05 02:00:00-06:00,25.6,0.79,21.8,0.41,2.44,0.0,39.93171296296296,,
2023-07-05 03:00:00-06:00,25.2,0.83,22.1,0.63,2.39,0.0,46.61574074074074,,
2023-07-05 04:00:00-06:00,25.0,0.86,22.6,0.45,2.51,0.0,52.46782407407407,,
2023-07-05 05:00:00-06:00,24.8,0.89,22.9,0.3,2.24,0.0,52.38194444444444,,
2023-07-05 06:00:00-06:00,24.7,0.93,23.5,0.17,2.71,3.0,52.913657407407406,,
2023-07-05 07:00:00-06:00,25.1,0.89,23.2,0.51,3.5,80.0,50.14450757575758,,
2023-07-05 08:00:00-06:00,26.1,0.83,22.9,0.54,3.21,261.0,52.474074074074075,,
2023-07-05 09:00:00-06:00,27.8,0.72,22.3,0.22,3.13,400.0,50.139583333333334,,
2023-07-05 10:00:00-06:00,30.0,0.61,21.6,0.38,2.8,617.0,45.981944444444444,,
2023-07-05 11:00:00-06:00,31.3,0.56,21.4,0.23,2.93,726.0,42.11666666666667,,
2023-07-05 12:00:00-06:00,32.4,0.51,20.9,0.32,2.57,839.0,39.082702020202014,,
2023-07-05 13:00:00-06:00,33.3,0.48,20.8,0.23,3.0,841.0,37.07563131313131,,
2023-07-05 14:00:00-06:00,34.0,0.46,20.8,0.31,3.26,872.0,47.28504273504274,,
2023-07-05 15:00:00-06:00,33.9,0.47,21.0,0.48,3.47,799.0,34.44768518518518,,
2023-07-05 16:00:00-06:00,33.2,0.47,20.5,0.92,3.41,616.0,37.16481481481481,,
2023-07-05 17:00:00-06:00,26.0,0.86,23.5,0.83,2.64,267.0,40.1462962962963,,
2023-07-05 18:00:00-06:00,26.7,0.8,23.0,0.57,2.28,222.0,43.19027777777778,,
2023-07-05 19:00:00-06:00,25.6,0.87,23.3,0.88,2.61,23.0,45.756018518518516,,
2023-07-05 20:00:00-06:00,25.1,0.9,23.4,0.45,2.21,11.0,47.508796296296296,,
2023-07-05 21:00:00-06:00,25.1,0.93,23.9,0.08,2.3,0.0,48.721296296296295,,
2023-07-05 22:00:00-06:00,25.1,0.95,24.2,0.01,2.53,0.0,49.038888888888884,,
2023-07-13 16:00:00-06:00,39.0,0.26,16.0,0.24,4.44,730.0,47.98240740740741,,
2023-07-13 17:00:00-06:00,38.7,0.26,15.9,0.23,4.71,535.0,45.77638888888888,,
2023-07-13 18:00:00-06:00,37.2,0.31,17.0,0.06,4.53,328.0,43.59583333333334,,
2023-07-13 19:00:00-06:00,36.0,0.34,17.6,0.01,4.07,147.0,41.60277777777778,,
2023-07-13 20:00:00-06:00,33.5,0.49,21.5,0.0,5.66,14.0,39.796759259259254,,
2023-07-13 21:00:00-06:00,31.5,0.63,23.5,0.01,5.94,0.0,38.210185185185175,,
2023-07-13 22:00:00-06:00,29.6,0.72,23.9,0.0,4.84,0.0,36.742592592592594,,
2023-07-13 23:00:00-06:00,28.7,0.69,22.5,0.0,4.48,0.0,35.451388888888886,,
2023-07-14 00:00:00-06:00,27.6,0.71,21.9,0.0,3.92,0.0,34.338425925925925,,
2023-07-14 01:00:00-06:00,26.6,0.78,22.4,0.0,3.98,0.0,33.45324074074073,,
2023-07-14 02:00:00-06:00,25.9,0.82,22.5,0.0,4.3,0.0,32.662962962962965,,
2023-07-14 03:00:00-06:00,25.4,0.86,22.8,0.05,3.8,0.0,32.12175925925926,,
2023-07-14 04:00:00-06:00,25.1,0.88,23.0,0.09,3.31,0.0,31.69953703703704,,
2023-07-14 05:00:00-06:00,24.9,0.9,23.2,0.09,3.1,0.0,31.310185185185183,,
2023-07-14 06:00:00-06:00,24.7,0.92,23.3,0.09,3.61,2.0,31.29953703703703,,
2023-07-14 07:00:00-06:00,26.2,0.83,23.2,0.14,4.91,89.0,32.272685185185175,,
2023-07-14 08:00:00-06:00,28.0,0.74,23.0,0.06,3.93,271.0,34.275462962962955,,
2023-07-14 09:00:00-06:00,30.0,0.65,22.8,0.07,3.42,486.0,36.90925925925926,,
2023-07-14 10:00:00-06:00,32.1,0.56,22.2,0.0,3.5,679.0,39.91157407407407,,
2023-07-14 11:00:00-06:00,34.0,0.47,21.3,0.0,3.71,832.0,43.07453703703704,,
2023-07-14 12:00:00-06:00,35.7,0.4,20.2,0.0,4.14,934.0,45.94351851851852,,
2023-07-14 13:00:00-06:00,37.2,0.33,18.3,0.0,4.88,976.0,48.201388888888886,,
2023-07-14 14:00:00-06:00,38.4,0.29,17.1,0.0,5.07,957.0,49.56481481481481,,
2023-07-14 15:00:00-06:00,38.9,0.26,16.0,0.08,5.08,874.0,50.03657407407407,,
2023-07-14 16:00:00-06:00,38.8,0.25,15.0,0.09,4.98,701.0,49.14212962962963,,
2023-07-14 17:00:00-06:00,38.5,0.25,14.8,0.09,4.95,544.0,46.94166666666667,,
2023-07-14 18:00:00-06:00,37.2,0.3,16.5,0.03,4.72,342.0,44.71527777777778,,
2023-07-14 19:00:00-06:00,34.9,0.42,20.0,0.01,4.8,146.0,42.59675925925926,,
