date,AirTemperature,RelativeHumidity,DewPoint,CloudCoverage,WindSpeed,SolarRadiation,PavementTemperature,Rainfall,BottomTemperature
2023-06-13 19:00:00-06:00,32.2,0.61,23.8,0.59,2.82,81.0,33.11342592592593,,
2023-06-13 20:00:00-06:00,30.8,0.66,23.7,0.86,3.02,10.0,31.319444444444443,,
2023-06-13 21:00:00-06:00,30.0,0.68,23.4,0.8,3.64,0.0,30.075694444444437,,
2023-06-13 22:00:00-06:00,28.2,0.75,23.3,0.82,4.88,0.0,29.383333333333333,,
2023-06-13 23:00:00-06:00,27.0,0.79,23.0,0.93,4.39,0.0,29.116666666666664,,
2023-06-14 00:00:00-06:00,26.2,0.81,22.7,1.0,4.12,0.0,28.916203703703708,,
2023-06-14 01:00:00-06:00,25.3,0.86,22.7,0.87,3.58,0.0,28.76226851851852,,
2023-06-14 02:00:00-06:00,24.6,0.91,22.9,1.0,3.31,0.0,28.549537037037037,,
2023-06-14 03:00:00-06:00,25.1,0.89,23.3,1.0,4.85,0.0,28.400231481481484,,
2023-06-14 04:00:00-06:00,25.2,0.9,23.5,1.0,4.67,0.0,28.103472222222226,,
2023-06-14 05:00:00-06:00,25.1,0.92,23.7,1.0,4.42,0.0,27.89166666666666,,
2023-06-14 06:00:00-06:00,25.2,0.91,23.6,1.0,3.31,2.0,28.655555555555562,,
2023-06-14 07:00:00-06:00,25.6,0.86,23.1,0.75,4.14,71.0,30.256018518518523,,
2023-06-14 08:00:00-06:00,26.5,0.78,22.4,1.0,4.7,213.0,31.94467592592593,,
2023-06-14 09:00:00-06:00,27.7,0.71,22.0,0.67,4.71,406.0,32.93634259259259,,
2023-06-14 10:00:00-06:00,29.5,0.64,22.1,1.0,3.52,661.0,35.50416666666666,,
2023-06-14 11:00:00-06:00,30.9,0.58,21.7,0.99,3.36,721.0,39.14097222222223,,
2023-06-14 12:00:00-06:00,32.4,0.52,21.4,1.0,2.53,742.0,42.38865740740741,,
2023-06-14 13:00:00-06:00,33.8,0.47,20.9,0.73,2.01,806.0,44.36597222222223,,
2023-06-14 14:00:00-06:00,35.2,0.43,20.8,1.0,1.3,874.0,44.98819444444444,,
2023-06-14 15:00:00-06:00,35.4,0.43,20.9,0.47,1.0,693.0,43.72847222222222,,
2023-06-14 16:00:00-06:00,35.7,0.43,21.0,0.69,1.84,683.0,41.75162037037037,,
2023-06-14 17:00:00-06:00,35.5,0.43,21.0,0.72,2.25,532.0,39.490046296296285,,
2023-06-14 18:00:00-06:00,32.4,0.61,24.0,0.98,1.17,304.0,37.112268518518526,,
2023-06-14 19:00:00-06:00,31.7,0.65,24.2,0.99,0.32,111.0,34.695601851851855,,
2023-06-14 20:00:00-06:00,28.6,0.79,24.7,0.37,0.98,11.0,31.959722222222222,,
2023-06-14 21:00:00-06:00,28.4,0.78,24.2,0.98,1.99,0.0,29.674999999999994,,
2023-06-14 22:00:00-06:00,28.0,0.8,24.3,1.0,3.03,0.0,28.474537037037035,,
2023-06-14 23:00:00-06:00,27.5,0.84,24.5,0.49,3.54,0.0,28.02060185185185,,
2023-06-15 00:00:00-06:00,26.9,0.86,24.4,0.46,2.64,0.0,27.891898148148147,,
2023-06-15 01:00:00-06:00,26.2,0.89,24.3,0.01,1.84,0.0,27.796064814814812,,
2023-06-15 02:00:00-06:00,25.5,0.92,24.2,0.03,1.97,0.0,27.643518518518512,,
2023-06-15 03:00:00-06:00,25.0,0.95,24.2,0.25,1.7,0.0,27.524537037037028,,
2023-06-15 04:00:00-06:00,24.7,0.98,24.3,0.49,2.41,0.0,27.44444444444444,,
2023-06-15 05:00:00-06:00,24.8,0.98,24.5,0.51,2.6,0.0,27.418981481481474,,
2023-06-15 06:00:00-06:00,25.3,0.96,24.7,1.0,2.06,5.0,27.80324074074074,,
