date,AirTemperature,RelativeHumidity,DewPoint,CloudCoverage,WindSpeed,SolarRadiation,PavementTemperature,Rainfall,BottomTemperature
2023-07-27 19:00:00-06:00,33.8,0.29,13.4,0.09,2.22,124.0,39.984722222222224,,
2023-07-27 20:00:00-06:00,32.0,0.32,13.4,0.02,2.56,8.0,37.796296296296305,,
2023-07-27 21:00:00-06:00,31.0,0.34,13.3,0.01,3.06,0.0,36.03611111111112,,
2023-07-27 22:00:00-06:00,29.8,0.41,15.2,0.0,4.96,0.0,34.51574074074074,,
2023-07-27 23:00:00-06:00,28.2,0.48,16.2,0.0,3.89,0.0,33.06203703703704,,
2023-07-28 00:00:00-06:00,26.9,0.57,17.7,0.0,3.35,0.0,31.952777777777776,,
2023-07-28 01:00:00-06:00,25.9,0.68,19.5,0.0,2.91,0.0,31.056944444444436,,
2023-07-28 02:00:00-06:00,25.2,0.77,20.9,0.0,2.53,0.0,30.35833333333333,,
2023-07-28 03:00:00-06:00,24.7,0.83,21.6,0.0,2.2,0.0,29.74490740740741,,
2023-07-28 04:00:00-06:00,24.1,0.86,21.7,0.0,1.51,0.0,29.087962962962962,,
2023-07-28 05:00:00-06:00,23.0,0.92,21.7,0.0,1.9,0.0,28.531944444444445,,
2023-07-28 06:00:00-06:00,23.4,0.92,22.0,0.0,1.33,0.0,28.85925925925926,,
2023-07-28 07:00:00-06:00,25.0,0.83,21.9,0.0,1.84,74.0,30.609259259259264,,
2023-07-28 08:00:00-06:00,27.0,0.69,20.9,0.0,2.06,264.0,33.42685185185185,,
2023-07-28 09:00:00-06:00,29.3,0.56,19.7,0.0,1.8,478.0,36.9425925925926,,
2023-07-28 10:00:00-06:00,31.4,0.45,17.9,0.0,2.2,673.0,40.61435185185185,,
2023-07-28 11:00:00-06:00,33.2,0.36,16.0,0.0,2.53,833.0,44.17685185185185,,
2023-07-28 12:00:00-06:00,34.6,0.29,13.7,0.02,2.62,933.0,47.234259259259254,,
2023-07-28 13:00:00-06:00,35.5,0.26,12.8,0.02,2.82,971.0,49.3162037037037,,
2023-07-28 14:00:00-06:00,35.9,0.25,12.5,0.03,2.86,939.0,49.74953703703704,,
2023-07-28 15:00:00-06:00,36.2,0.24,12.2,0.04,2.91,851.0,49.65555555555555,,
2023-07-28 16:00:00-06:00,36.0,0.24,12.2,0.05,2.95,701.0,47.71805555555555,,
2023-07-28 17:00:00-06:00,35.6,0.24,11.7,0.06,2.5,521.0,45.00509259259259,,
2023-07-28 18:00:00-06:00,35.2,0.22,10.1,0.09,3.05,311.0,42.34861111111111,,
2023-07-28 19:00:00-06:00,33.3,0.26,11.4,0.01,1.58,124.0,39.874074074074066,,
2023-07-28 20:00:00-06:00,31.8,0.28,11.2,0.01,2.84,8.0,37.791666666666664,,
2023-07-28 21:00:00-06:00,30.2,0.42,15.8,0.06,4.78,0.0,36.08287037037037,,
2023-07-28 22:00:00-06:00,28.9,0.49,17.0,0.02,4.75,0.0,34.41064814814815,,
2023-07-28 23:00:00-06:00,27.8,0.52,17.1,0.02,3.82,0.0,33.14027777777777,,
2023-07-29 00:00:00-06:00,26.8,0.58,18.0,0.18,3.14,0.0,32.156018518518515,,
