date,PICP_water_temperature,PGr_water_temperature,PA_water_temperature,PC_water_temperature
2023-08-22 15:30:00-06:00,34.54,,36.06,
2023-08-22 15:35:00-06:00,34.35,,35.97,
2023-08-22 15:40:00-06:00,34.37,,35.97,
2023-08-22 15:45:00-06:00,35.07,,35.95,
2023-08-22 15:50:00-06:00,35.69,,35.97,
2023-08-22 15:55:00-06:00,36.12,,35.97,
2023-08-22 16:00:00-06:00,36.4,,35.97,
2023-08-22 16:05:00-06:00,36.55,,35.97,
2023-08-22 16:10:00-06:00,36.66,,36.04,
2023-08-22 16:15:00-06:00,36.73,,36.08,
2023-08-22 16:20:00-06:00,36.73,,36.08,
2023-08-22 16:25:00-06:00,36.73,,36.08,
2023-08-22 16:30:00-06:00,36.77,,36.14,
2023-08-22 16:35:00-06:00,36.9,,36.19,
2023-08-22 16:40:00-06:00,36.99,,36.23,
2023-08-22 16:45:00-06:00,36.97,,36.21,
2023-08-22 16:50:00-06:00,36.84,,36.25,
2023-08-22 16:55:00-06:00,36.84,,36.3,
2023-08-22 17:00:00-06:00,36.84,,36.3,
2023-08-22 17:05:00-06:00,36.84,,36.3,
2023-08-22 17:10:00-06:00,36.84,,36.3,
2023-08-22 17:15:00-06:00,36.77,,36.3,
2023-08-22 17:20:00-06:00,36.73,,36.3,
2023-08-22 17:25:00-06:00,36.73,,36.3,
2023-08-22 17:30:00-06:00,36.73,,36.3,
2023-08-22 17:35:00-06:00,36.73,,36.3,
2023-08-22 17:40:00-06:00,36.73,,36.3,
2023-08-22 17:45:00-06:00,36.64,,36.3,
2023-08-22 17:50:00-06:00,36.62,,36.3,
2023-08-22 17:55:00-06:00,36.62,,36.3,
2023-08-22 18:00:00-06:00,36.62,,36.3,
2023-08-22 18:05:00-06:00,36.64,,36.36,
2023-08-22 18:10:00-06:00,36.73,,36.4,
2023-08-22 18:15:00-06:00,36.73,,36.4,
2023-08-22 18:20:00-06:00,36.73,,36.4,
2023-08-22 18:25:00-06:00,36.73,,36.4,
2023-08-22 18:30:00-06:00,36.73,,36.4,
2023-08-22 18:35:00-06:00,36.79,,36.4,
2023-08-22 18:40:00-06:00,36.9,,36.49,
2023-08-22 18:45:00-06:00,36.97,,36.51,
2023-08-22 18:50:00-06:00,37.06,,36.51,
2023-08-22 18:55:00-06:00,37.06,,36.51,
2023-08-22 19:00:00-06:00,37.06,,36.51,
2023-08-22 19:05:00-06:00,37.08,,36.51,
2023-08-22 19:10:00-06:00,37.06,,36.51,
2023-08-22 19:15:00-06:00,37.06,,36.51,
2023-08-22 19:20:00-06:00,37.06,,36.62,
2023-08-22 19:25:00-06:00,37.06,,36.62,
2023-08-22 19:30:00-06:00,37.06,,36.62,
2023-08-22 19:35:00-06:00,36.97,,36.62,
2023-08-22 19:40:00-06:00,36.95,,36.62,
2023-08-22 19:45:00-06:00,36.95,,36.62,
2023-08-22 19:50:00-06:00,36.95,,36.62,
2023-08-22 19:55:00-06:00,36.84,,36.62,
2023-08-22 20:00:00-06:00,36.84,,36.71,
2023-08-22 20:05:00-06:00,36.84,,36.73,
2023-08-22 20:10:00-06:00,36.84,,36.73,
2023-08-22 20:15:00-06:00,36.84,,36.73,
2023-08-22 20:20:00-06:00,36.84,,36.73,
2023-08-22 20:25:00-06:00,36.84,,36.73,
2023-08-22 20:30:00-06:00,36.77,,36.73,
2023-08-22 20:35:00-06:00,36.73,,36.73,
2023-08-22 20:40:00-06:00,36.73,,36.73,
2023-08-22 20:45:00-06:00,36.73,,36.73,
2023-08-22 20:50:00-06:00,36.73,,36.73,
2023-08-22 20:55:00-06:00,36.73,,36.73,
2023-08-22 21:00:00-06:00,36.62,,36.73,
2023-08-22 21:05:00-06:00,36.62,,36.73,
2023-08-22 21:10:00-06:00,36.62,,36.71,
2023-08-22 21:15:00-06:00,36.53,,36.62,
2023-08-22 21:20:00-06:00,36.51,,36.62,
2023-08-22 21:25:00-06:00,36.51,,36.62,
2023-08-22 21:30:00-06:00,36.45,,36.62,
2023-08-22 21:35:00-06:00,36.4,,36.62,
2023-08-22 21:40:00-06:00,36.4,,36.62,
2023-08-22 21:45:00-06:00,36.34,,36.62,
2023-08-22 21:50:00-06:00,36.3,,36.62,
2023-08-22 21:55:00-06:00,36.23,,36.62,
2023-08-22 22:00:00-06:00,36.19,,36.62,
2023-08-22 22:05:00-06:00,36.19,,36.62,
2023-08-22 22:10:00-06:00,36.1,,36.62,
2023-08-22 22:15:00-06:00,36.01,,36.62,
2023-08-22 22:20:00-06:00,35.93,,36.62,
2023-10-05 05:40:00-06:00,31.27,28.16,31.88,30.38
2023-10-05 05:45:00-06:00,31.27,28.16,31.96,30.46
2023-10-05 05:50:00-06:00,31.37,28.12,32.07,30.46
2023-10-05 05:55:00-06:00,31.41,28.0,32.19,30.46
2023-10-05 06:00:00-06:00,31.49,27.96,32.19,30.54
2023-10-05 06:05:00-06:00,31.59,27.96,32.19,30.6
2023-10-05 06:10:00-06:00,31.72,27.96,32.19,30.7
2023-10-05 06:15:00-06:00,31.82,27.96,32.19,30.76
2023-10-05 06:20:00-06:00,31.9,27.96,32.27,30.86
2023-10-05 06:25:00-06:00,31.98,28.02,32.29,30.92
2023-10-05 06:30:00-06:00,32.09,28.06,32.29,31.0
2023-10-05 06:35:00-06:00,32.13,28.06,32.29,31.06
2023-10-05 06:40:00-06:00,32.19,28.06,32.29,31.1
2023-10-05 06:45:00-06:00,32.25,28.06,32.29,31.17
2023-10-05 06:50:00-06:00,32.29,28.06,32.29,31.17
2023-10-05 06:55:00-06:00,32.29,28.06,32.29,31.17
2023-10-05 07:00:00-06:00,32.29,28.0,32.35,31.27
2023-10-05 07:05:00-06:00,32.29,27.96,32.39,31.27
2023-10-05 07:10:00-06:00,32.29,27.96,32.39,31.27
2023-10-05 07:15:00-06:00,32.29,27.96,32.39,31.27
2023-10-05 07:20:00-06:00,32.29,27.96,32.39,31.27
2023-10-05 07:25:00-06:00,32.29,27.96,32.39,31.27
2023-10-05 07:30:00-06:00,32.29,27.86,32.39,31.27
2023-10-05 07:35:00-06:00,32.29,27.86,32.39,31.27
2023-10-05 07:40:00-06:00,32.29,27.86,32.44,31.27
2023-10-05 07:45:00-06:00,32.35,27.88,32.5,31.27
2023-10-05 07:50:00-06:00,32.39,27.9,32.5,31.27
2023-10-05 07:55:00-06:00,32.39,27.94,32.5,31.27
2023-10-05 08:00:00-06:00,32.39,27.96,32.52,31.33
2023-10-05 08:05:00-06:00,32.39,27.96,32.6,31.37
2023-10-05 08:10:00-06:00,32.39,27.96,32.6,31.37
2023-10-05 08:15:00-06:00,32.33,27.96,32.6,31.37
2023-10-05 08:20:00-06:00,32.29,27.96,32.6,31.37
2023-10-05 08:25:00-06:00,32.29,27.92,32.6,31.37
2023-10-05 08:30:00-06:00,32.29,27.86,32.6,31.37
2023-10-05 08:35:00-06:00,32.21,27.86,32.6,31.37
2023-10-05 08:40:00-06:00,32.19,27.86,32.6,31.37
2023-10-05 08:45:00-06:00,32.29,27.86,32.6,31.37
2023-10-05 08:50:00-06:00,32.29,27.86,32.62,31.37
2023-10-05 08:55:00-06:00,32.29,27.86,32.7,31.43
2023-10-05 09:00:00-06:00,32.29,27.86,32.7,31.47
2023-10-05 09:05:00-06:00,32.29,27.86,32.7,31.47
2023-10-05 09:10:00-06:00,32.29,27.96,32.7,31.47
2023-10-05 09:15:00-06:00,32.29,27.96,32.7,31.47
2023-10-05 09:20:00-06:00,32.29,27.96,32.72,31.47
2023-10-05 09:25:00-06:00,32.29,27.96,32.81,31.47
2023-10-05 09:30:00-06:00,32.29,27.96,32.81,31.47
2023-10-05 09:35:00-06:00,32.29,27.96,32.81,31.47
2023-10-05 09:40:00-06:00,32.29,28.0,32.81,31.47
2023-10-05 09:45:00-06:00,32.29,28.06,32.81,31.47
2023-10-05 09:50:00-06:00,32.29,28.06,32.81,31.47
2023-10-05 09:55:00-06:00,32.29,28.06,32.81,31.47
2023-10-05 10:00:00-06:00,32.29,28.06,32.81,31.47
2023-10-05 10:05:00-06:00,32.21,28.06,32.81,31.47
2023-10-05 10:10:00-06:00,32.19,28.06,32.81,31.47
2023-10-05 10:15:00-06:00,32.19,28.14,32.81,31.47
2023-10-05 10:20:00-06:00,32.15,28.16,32.81,31.47
2023-10-05 10:25:00-06:00,32.09,28.16,32.81,31.47
2023-10-05 10:30:00-06:00,32.09,28.16,32.81,31.47
2023-10-05 10:35:00-06:00,32.09,28.16,32.81,31.45
2023-10-05 10:40:00-06:00,32.09,28.16,32.81,31.37
2023-10-05 10:45:00-06:00,32.09,28.16,32.81,31.37
2023-10-05 10:50:00-06:00,32.04,28.18,32.81,31.37
2023-10-05 10:55:00-06:00,31.98,28.24,32.81,31.37
2023-10-05 11:00:00-06:00,31.98,28.26,32.81,31.37
2023-10-05 11:05:00-06:00,32.02,28.26,32.81,31.37
2023-10-05 11:10:00-06:00,32.09,28.26,32.81,31.37
2023-10-05 11:15:00-06:00,32.09,28.26,32.81,31.37
2023-10-05 11:20:00-06:00,32.17,28.26,32.81,31.37
2023-10-05 11:25:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 11:30:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 11:35:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 11:40:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 11:45:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 11:50:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 11:55:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 12:00:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 12:05:00-06:00,32.19,28.26,32.81,31.37
2023-10-05 12:10:00-06:00,32.19,28.28,32.81,31.37
2023-10-05 12:15:00-06:00,32.19,28.34,32.81,31.37
2023-10-05 12:20:00-06:00,32.19,28.36,32.81,31.37
2023-10-05 12:25:00-06:00,32.21,28.36,32.83,31.37
2023-10-05 12:30:00-06:00,32.29,28.36,32.81,31.37
2023-10-05 12:35:00-06:00,32.29,28.36,32.81,31.37
2023-10-05 12:40:00-06:00,32.29,28.36,32.81,31.37
2023-10-05 12:45:00-06:00,32.29,28.36,32.81,31.37
2023-10-05 12:50:00-06:00,32.29,28.36,32.91,31.37
2023-10-05 12:55:00-06:00,32.29,28.36,32.89,31.37
2023-10-05 13:00:00-06:00,32.29,28.36,32.85,31.37
2023-10-05 13:05:00-06:00,32.29,28.36,32.89,31.37
2023-10-05 13:10:00-06:00,32.29,28.4,32.91,31.37
2023-10-05 13:15:00-06:00,32.29,28.46,32.89,31.37
2023-10-05 13:20:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 13:25:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 13:30:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 13:35:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 13:40:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 13:45:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 13:50:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 13:55:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 14:00:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 14:05:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 14:10:00-06:00,32.29,28.46,32.91,31.37
2023-10-05 14:15:00-06:00,32.29,28.5,32.91,31.37
2023-10-05 14:20:00-06:00,32.29,28.56,32.91,31.37
2023-10-05 14:25:00-06:00,32.29,28.56,32.91,31.37
2023-10-05 14:30:00-06:00,32.29,28.56,32.91,31.37
2023-10-05 14:35:00-06:00,32.29,28.56,32.91,31.37
2023-10-05 14:40:00-06:00,32.19,28.56,32.91,31.35
2023-10-05 14:45:00-06:00,32.19,28.56,32.91,31.29
2023-10-05 14:50:00-06:00,32.19,28.56,32.91,31.27
2023-10-05 14:55:00-06:00,32.19,28.56,32.91,31.27
2023-10-05 15:00:00-06:00,32.19,28.56,32.91,31.27
2023-10-05 15:05:00-06:00,32.19,28.56,32.91,31.27
2023-10-05 15:10:00-06:00,32.19,28.56,32.93,31.27
2023-10-05 15:15:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:20:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:25:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:30:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:35:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:40:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:45:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:50:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 15:55:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:00:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:05:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:10:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:15:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:20:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:25:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:30:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:35:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:40:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:45:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:50:00-06:00,32.19,28.56,33.01,31.27
2023-10-05 16:55:00-06:00,32.19,28.56,33.1,31.27
2023-10-05 17:00:00-06:00,32.19,28.56,33.12,31.27
2023-10-05 17:05:00-06:00,32.19,28.56,33.12,31.27
2023-10-05 17:10:00-06:00,32.19,28.56,33.12,31.27
2023-10-05 17:15:00-06:00,32.19,28.56,33.12,31.27
2023-10-05 17:20:00-06:00,32.15,28.56,33.12,31.27
2023-10-05 17:25:00-06:00,32.17,28.56,33.12,31.27
2023-10-05 17:30:00-06:00,32.13,28.56,33.12,31.27
