Solar_Radiation,Humidity,Wind_Speed,Air_Temperature,Date,Pavement_Temperature
618,47.71,4.9,33.800000000000004,2023-07-14 09:00:00,37.540740740740745
795,37.37,4.9,36.4,2023-07-14 10:00:00,40.837962962962955
927,30.53,4.800000000000001,38.6,2023-07-14 11:00:00,46.2125
998,26.05,4.6000000000000005,40.2,2023-07-14 12:00:00,51.4212962962963
1007,23.1,4.5,41.3,2023-07-14 13:00:00,55.87453703703703
954,21.5,4.4,41.8,2023-07-14 14:00:00,58.47407407407407
839,21.12,4.6000000000000005,41.6,2023-07-14 15:00:00,59.869444444444454
676,22.09,4.7,40.7,2023-07-14 16:00:00,60.58287037037037
477,24.44,4.9,39.3,2023-07-14 17:00:00,59.286574074074075
262,28.74,4.9,37.4,2023-07-14 18:00:00,56.61388888888889
68,36.15,4.6000000000000005,35.0,2023-07-14 19:00:00,51.916203703703694
0,45.22,4.6000000000000005,32.9,2023-07-14 20:00:00,47.395833333333336
0,55.5,5.1000000000000005,31.0,2023-07-14 21:00:00,43.8175925925926
0,65.66,5.0,29.3,2023-07-14 22:00:00,40.963425925925925
0,74.15,4.800000000000001,28.0,2023-07-14 23:00:00,38.4625
0,80.63,4.5,27.1,2023-07-15 00:00:00,36.34351851851852
0,85.89,4.2,26.4,2023-07-15 01:00:00,34.63425925925925
0,89.17,3.9,26.0,2023-07-15 02:00:00,33.3074074074074
0,90.36,3.6,25.9,2023-07-15 03:00:00,32.0412037037037
0,91.26,3.3000000000000003,25.8,2023-07-15 04:00:00,31.35925925925926
0,91.98,3.0,25.700000000000003,2023-07-15 05:00:00,30.859259259259257
21,86.09,3.5,26.5,2023-07-15 06:00:00,30.218518518518515
191,73.55,3.8,28.4,2023-07-15 07:00:00,29.964351851851852
408,57.44,4.0,31.1,2023-07-15 08:00:00,31.59305555555556
616,42.23,4.4,34.0,2023-07-15 09:00:00,35.608796296296305
793,32.57,4.5,36.6,2023-07-15 10:00:00,40.48425925925926
922,26.99,4.3,38.7,2023-07-15 11:00:00,45.67592592592592
995,23.74,4.0,40.2,2023-07-15 12:00:00,50.92175925925926
1003,21.56,3.6,41.3,2023-07-15 13:00:00,55.69305555555555
948,20.44,3.4000000000000004,41.8,2023-07-15 14:00:00,59.093981481481485
832,19.92,3.5,41.8,2023-07-15 15:00:00,61.119444444444454
670,19.85,3.7,41.3,2023-07-15 16:00:00,61.53194444444444
471,20.68,4.0,40.2,2023-07-15 17:00:00,60.69259259259259
258,23.02,3.9,38.400000000000006,2023-07-15 18:00:00,57.90972222222223
65,29.51,3.0,35.2,2023-07-15 19:00:00,53.2912037037037
0,36.12,3.8,33.5,2023-07-15 20:00:00,48.82268518518518
0,45.16,3.9,31.9,2023-07-15 21:00:00,45.18749999999999
0,56.58,3.9,30.3,2023-07-15 22:00:00,42.23472222222222
0,67.48,3.6,29.0,2023-07-15 23:00:00,39.93796296296296
0,77.17,3.3000000000000003,27.9,2023-07-16 00:00:00,37.95324074074074
0,84.7,3.0,27.1,2023-07-16 01:00:00,36.20833333333333
0,91.05,2.7,26.4,2023-07-16 02:00:00,34.69675925925926
0,95.34,2.3000000000000003,25.9,2023-07-16 03:00:00,33.275925925925925
0,97.35,1.9,25.6,2023-07-16 04:00:00,31.993981481481477
0,97.49,1.7000000000000002,25.4,2023-07-16 05:00:00,31.02083333333333
