Solar_Radiation,Humidity,Wind_Speed,Air_Temperature,Date,Pavement_Temperature
0.0,48.29,0.9,29.6,2023-07-04 08:00:00,30.782239057239057
0.0,50.05,1.4,29.0,2023-07-04 09:00:00,31.569675925925917
0.0,60.96,2.7,27.5,2023-07-04 10:00:00,33.40578703703704
0.0,81.68,2.4000000000000004,25.5,2023-07-04 11:00:00,37.30300925925926
0.0,88.05,2.1,25.0,2023-07-04 12:00:00,39.435858585858576
0.0,89.53,1.9,24.9,2023-07-04 13:00:00,47.17791666666666
17.0,86.67,2.4000000000000004,25.5,2023-07-04 14:00:00,51.93533950617284
20.0,77.29,3.0,26.9,2023-07-04 15:00:00,53.75231481481481
29.0,65.95,3.0,28.6,2023-07-04 16:00:00,54.07222222222221
143.0,55.96,2.9000000000000004,30.3,2023-07-04 17:00:00,52.89490740740741
417.0,47.83,2.8000000000000003,32.0,2023-07-04 18:00:00,49.43923611111111
274.0,41.54,2.6,33.6,2023-07-04 19:00:00,45.799305555555556
717.0,37.22,2.4000000000000004,34.800000000000004,2023-07-04 20:00:00,42.306523569023575
881.0,33.89,2.3000000000000003,35.800000000000004,2023-07-04 21:00:00,39.441898148148155
804.0,31.45,2.4000000000000004,36.5,2023-07-04 22:00:00,37.326388888888886
703.0,30.07,2.5,36.7,2023-07-04 23:00:00,35.393055555555556
664.0,29.64,2.5,36.5,2023-07-05 00:00:00,33.92916666666667
468.0,30.48,2.7,35.7,2023-07-05 01:00:00,32.85439814814816
258.0,33.94,2.6,34.4,2023-07-05 02:00:00,32.023148148148145
52.0,41.85,2.4000000000000004,32.0,2023-07-05 03:00:00,31.59305555555556
0.0,46.4,3.3000000000000003,30.8,2023-07-05 04:00:00,31.129398148148148
0.0,52.2,3.9,29.8,2023-07-05 05:00:00,30.7912037037037
0.0,59.66,4.4,28.700000000000003,2023-07-05 06:00:00,30.239351851851847
0.0,67.14,4.3,27.8,2023-07-05 07:00:00,30.095910493827155
0.0,74.73,4.0,27.0,2023-07-05 08:00:00,31.028009259259257
0.0,82.14,3.8,26.4,2023-07-05 09:00:00,33.613657407407395
0.0,87.48,3.6,26.0,2023-07-05 10:00:00,37.226388888888884
0.0,89.59,3.3000000000000003,25.9,2023-07-05 11:00:00,39.931712962962955
0.0,90.4,3.0,25.8,2023-07-05 12:00:00,46.61574074074073
0.0,90.71,2.5,25.700000000000003,2023-07-05 13:00:00,52.46782407407406
14.0,85.84,2.8000000000000003,26.4,2023-07-05 14:00:00,52.38194444444444
79.0,75.64,3.0,27.8,2023-07-05 15:00:00,52.913657407407406
255.0,64.55,3.2,29.5,2023-07-05 16:00:00,50.14450757575758
601.0,56.04,3.2,31.1,2023-07-05 17:00:00,52.47407407407407
370.0,50.26,3.1,32.4,2023-07-05 18:00:00,50.139583333333334
682.0,45.95,3.1,33.6,2023-07-05 19:00:00,45.981944444444444
785.0,43.02,3.1,34.4,2023-07-05 20:00:00,42.11666666666667
728.0,41.52,3.2,34.800000000000004,2023-07-05 21:00:00,39.08270202020203
514.0,41.4,3.4000000000000004,34.800000000000004,2023-07-05 22:00:00,37.07563131313131
305.0,42.4,3.7,34.5,2023-07-13 16:00:00,40.2758547008547
629.0,43.99,4.0,34.0,2023-07-13 17:00:00,34.44768518518517
469.0,46.44,4.2,33.300000000000004,2023-07-13 18:00:00,37.16481481481481
132.0,50.71,4.1000000000000005,32.2,2023-07-13 19:00:00,40.1462962962963
71.0,57.61,3.5,30.6,2023-07-13 20:00:00,43.19027777777778
0.0,64.22,3.0,29.4,2023-07-13 21:00:00,45.75601851851851
0.0,69.8,3.1,28.5,2023-07-13 22:00:00,47.50879629629629
0.0,75.34,3.0,27.6,2023-07-13 23:00:00,48.721296296296295
686.0,21.9,4.2,39.8,2023-07-14 00:00:00,49.038888888888884
484.0,23.52,4.2,38.7,2023-07-14 01:00:00,47.98240740740741
267.0,26.64,4.0,37.2,2023-07-14 02:00:00,45.77638888888888
70.0,33.1,3.6,34.9,2023-07-14 03:00:00,43.59583333333333
0.0,40.53,4.2,33.300000000000004,2023-07-14 04:00:00,41.60277777777778
0.0,50.870000000000005,4.6000000000000005,31.6,2023-07-14 05:00:00,39.796759259259254
0.0,64.19,4.800000000000001,29.8,2023-07-14 06:00:00,38.210185185185175
0.0,75.7,4.6000000000000005,28.4,2023-07-14 07:00:00,36.7425925925926
0.0,83.86,4.3,27.4,2023-07-14 08:00:00,35.451388888888886
0.0,88.77,4.1000000000000005,26.700000000000003,2023-07-14 09:00:00,34.33842592592593
0.0,90.58,3.9,26.3,2023-07-14 10:00:00,33.45324074074073
0.0,92.13,3.3000000000000003,25.8,2023-07-14 11:00:00,32.662962962962965
0.0,93.44,2.9000000000000004,25.5,2023-07-14 12:00:00,32.12175925925926
0.0,95.37,2.5,25.200000000000003,2023-07-14 13:00:00,31.69953703703704
23.0,89.32000000000001,3.2,26.200000000000003,2023-07-14 14:00:00,31.310185185185183
194.0,76.49,4.0,28.3,2023-07-14 15:00:00,31.29953703703703
410.0,61.38,4.5,31.0,2023-07-14 16:00:00,32.272685185185175
618.0,47.71,4.9,33.800000000000004,2023-07-14 17:00:00,34.275462962962955
795.0,37.37,4.9,36.4,2023-07-14 18:00:00,36.909259259259265
927.0,30.53,4.800000000000001,38.6,2023-07-14 19:00:00,39.91157407407407
998.0,26.05,4.6000000000000005,40.2,2023-07-14 20:00:00,43.07453703703704
1007.0,23.1,4.5,41.3,2023-07-14 21:00:00,45.94351851851852
954.0,21.5,4.4,41.8,2023-07-14 22:00:00,48.201388888888886
839.0,21.12,4.6000000000000005,41.6,2023-07-14 23:00:00,49.564814814814795
676.0,22.09,4.7,40.7,2023-07-15 00:00:00,50.03657407407406
477.0,24.44,4.9,39.3,2023-07-15 01:00:00,49.14212962962962
262.0,28.74,4.9,37.4,2023-07-15 02:00:00,46.94166666666667
68.0,36.15,4.6000000000000005,35.0,2023-07-15 03:00:00,44.71527777777778
0.0,45.22,4.6000000000000005,32.9,2023-07-15 04:00:00,42.59675925925926
0.0,55.5,5.1000000000000005,31.0,2023-07-15 05:00:00,40.71805555555556
0.0,65.66,5.0,29.3,2023-07-15 06:00:00,39.168055555555554
0.0,74.15,4.800000000000001,28.0,2023-07-15 07:00:00,37.79398148148147
0.0,80.63,4.5,27.1,2023-07-15 08:00:00,36.56527777777777
0.0,85.89,4.2,26.4,2023-07-15 09:00:00,35.45231481481482
0.0,89.17,3.9,26.0,2023-07-15 10:00:00,34.49444444444445
0.0,90.36,3.6,25.9,2023-07-15 11:00:00,33.56342592592593
0.0,91.26,3.3000000000000003,25.8,2023-07-15 12:00:00,32.78796296296295
0.0,91.98,3.0,25.700000000000003,2023-07-15 13:00:00,32.131944444444436
21.0,86.09,3.5,26.5,2023-07-15 14:00:00,31.5800925925926
191.0,73.55,3.8,28.4,2023-07-15 15:00:00,31.52824074074074
408.0,57.44,4.0,31.1,2023-07-15 16:00:00,32.56388888888888
616.0,42.23,4.4,34.0,2023-07-15 17:00:00,34.474074074074075
793.0,32.57,4.5,36.6,2023-07-15 18:00:00,37.15277777777778
922.0,26.99,4.3,38.7,2023-07-15 19:00:00,40.540740740740745
995.0,23.74,4.0,40.2,2023-07-15 20:00:00,43.80416666666667
1003.0,21.56,3.6,41.3,2023-07-15 21:00:00,46.712962962962955
948.0,20.44,3.4000000000000004,41.8,2023-07-15 22:00:00,48.86157407407407
832.0,19.92,3.5,41.8,2023-07-15 23:00:00,50.4074074074074
670.0,19.85,3.7,41.3,2023-07-16 00:00:00,51.0
471.0,20.68,4.0,40.2,2023-07-16 01:00:00,50.027314814814815
258.0,23.02,3.9,38.400000000000006,2023-07-16 02:00:00,47.711574074074065
65.0,29.51,3.0,35.2,2023-07-16 03:00:00,45.422222222222224
0.0,36.12,3.8,33.5,2023-07-16 04:00:00,43.47546296296295
0.0,45.16,3.9,31.9,2023-07-16 05:00:00,41.519907407407395
0.0,56.58,3.9,30.3,2023-07-16 06:00:00,39.83287037037038
0.0,67.48,3.6,29.0,2023-07-16 07:00:00,38.31898148148149
0.0,77.17,3.3000000000000003,27.9,2023-07-16 08:00:00,37.002314814814824
0.0,84.7,3.0,27.1,2023-07-16 09:00:00,35.87824074074073
0.0,91.05,2.7,26.4,2023-07-16 10:00:00,34.9050925925926
0.0,95.34,2.3000000000000003,25.9,2023-07-16 11:00:00,34.05277777777778
0.0,97.35,1.9,25.6,2023-07-16 12:00:00,33.25046296296296
0.0,97.49,1.7000000000000002,25.4,2023-07-16 13:00:00,32.48657407407408
21.0,90.31,2.5,26.3,2023-07-16 14:00:00,31.787962962962954
192.0,76.09,3.2,28.1,2023-07-16 15:00:00,31.77222222222222
412.0,58.6,4.1000000000000005,30.700000000000003,2023-07-16 16:00:00,33.10046296296295
572.0,43.2,4.5,33.6,2023-07-16 17:00:00,35.353240740740745
799.0,33.57,4.3,36.2,2023-07-16 18:00:00,38.23101851851851
929.0,27.48,3.7,38.400000000000006,2023-07-16 19:00:00,41.416666666666664
991.0,23.75,3.0,39.7,2023-07-16 20:00:00,44.36018518518519
1001.0,20.95,2.3000000000000003,40.7,2023-07-16 21:00:00,47.00925925925926
948.0,19.25,2.0,41.2,2023-07-16 22:00:00,49.06018518518518
829.0,18.12,2.2,41.3,2023-07-16 23:00:00,50.43842592592593
668.0,17.75,2.6,40.900000000000006,2023-07-17 00:00:00,50.70879629629629
469.0,18.23,2.8000000000000003,39.900000000000006,2023-07-17 01:00:00,49.709722222222226
255.0,19.92,2.7,38.2,2023-07-17 02:00:00,47.35787037037038
64.0,25.96,1.6,34.6,2023-07-17 03:00:00,44.98518518518519
0.0,29.42,2.8000000000000003,33.5,2023-07-17 04:00:00,42.95092592592594
0.0,36.01,3.9,32.4,2023-07-17 05:00:00,41.13425925925927
0.0,47.84,4.4,30.5,2023-07-17 06:00:00,39.484259259259254
0.0,59.09,4.1000000000000005,28.9,2023-07-17 07:00:00,38.12685185185184
0.0,67.12,3.5,27.8,2023-07-17 08:00:00,36.846759259259265
0.0,74.3,3.1,26.9,2023-07-17 09:00:00,35.75416666666667
0.0,81.56,2.7,26.0,2023-07-17 10:00:00,34.69722222222222
0.0,88.28,2.3000000000000003,25.200000000000003,2023-07-17 11:00:00,33.7712962962963
0.0,94.74,1.8,24.4,2023-07-17 12:00:00,32.93842592592593
0.0,99.27,1.3,23.8,2023-07-17 13:00:00,32.24120370370371
22.0,91.01,2.5,25.0,2023-07-17 14:00:00,31.663425925925928
198.0,74.44,3.2,27.1,2023-07-17 15:00:00,31.538425925925925
418.0,54.07,3.4000000000000004,30.200000000000003,2023-07-17 16:00:00,32.46527777777778
631.0,37.2,3.6,33.6,2023-07-17 17:00:00,34.18271604938271
811.0,26.32,3.5,36.6,2023-07-17 18:00:00,38.08263888888889
943.0,20.83,3.2,38.7,2023-07-17 19:00:00,40.92592592592594
1016.0,17.38,2.8000000000000003,40.400000000000006,2023-07-17 20:00:00,44.084722222222226
1025.0,15.26,2.6,41.5,2023-07-17 21:00:00,46.936574074074066
969.0,14.15,2.7,42.0,2023-07-17 22:00:00,49.288425925925935
853.0,13.77,2.9000000000000004,42.0,2023-07-17 23:00:00,50.828240740740746
688.0,14.06,3.1,41.5,2023-07-18 00:00:00,51.34027777777777
487.0,15.14,3.2,40.3,2023-07-18 01:00:00,50.318518518518516
269.0,17.080000000000002,2.9000000000000004,38.6,2023-07-18 02:00:00,48.05462962962962
69.0,23.77,1.6,34.300000000000004,2023-07-18 03:00:00,45.64120370370369
0.0,27.85,2.6,33.1,2023-07-18 04:00:00,43.48101851851851
0.0,34.9,3.6,32.1,2023-07-18 05:00:00,41.50879629629629
0.0,46.36,3.8,30.5,2023-07-18 06:00:00,39.90648148148148
0.0,59.0,3.6,28.9,2023-07-18 07:00:00,38.44444444444444
0.0,69.15,3.3000000000000003,27.700000000000003,2023-07-18 08:00:00,37.086574074074065
0.0,77.39,3.0,26.700000000000003,2023-07-18 09:00:00,35.915277777777774
0.0,84.41,2.6,25.9,2023-07-18 10:00:00,34.852777777777774
0.0,90.5,2.3000000000000003,25.200000000000003,2023-07-18 11:00:00,33.90138888888888
0.0,95.07,2.1,24.700000000000003,2023-07-18 12:00:00,33.0425925925926
0.0,97.61,1.7000000000000002,24.4,2023-07-18 13:00:00,32.3037037037037
20.0,90.72,2.6,25.4,2023-07-18 14:00:00,31.647222222222215
192.0,74.29,3.2,27.700000000000003,2023-07-18 15:00:00,31.373148148148154
410.0,55.39,3.6,30.8,2023-07-18 16:00:00,32.19953703703703
614.0,41.08,3.7,33.9,2023-07-18 17:00:00,34.13564814814814
794.0,32.1,3.5,36.5,2023-07-18 18:00:00,36.8925925925926
927.0,25.89,3.3000000000000003,38.7,2023-07-18 19:00:00,40.14074074074073
1003.0,21.72,3.1,40.3,2023-07-18 20:00:00,43.35555555555556
1014.0,19.01,3.1,41.400000000000006,2023-07-18 21:00:00,46.18194444444444
961.0,17.41,3.1,42.0,2023-07-18 22:00:00,48.55509259259259
842.0,16.81,3.2,42.0,2023-07-18 23:00:00,49.954166666666666
678.0,17.06,3.3000000000000003,41.400000000000006,2023-07-19 00:00:00,50.323611111111106
476.0,17.97,3.4000000000000004,40.3,2023-07-19 01:00:00,49.41851851851851
259.0,19.87,3.2,38.6,2023-07-19 02:00:00,47.23333333333333
64.0,26.2,2.0,34.9,2023-07-19 03:00:00,44.92268518518517
0.0,31.51,3.1,33.7,2023-07-19 04:00:00,42.78333333333334
0.0,40.5,4.4,32.6,2023-07-19 05:00:00,40.952777777777776
0.0,53.46,4.800000000000001,30.8,2023-07-19 06:00:00,39.30231481481483
0.0,64.73,4.5,29.3,2023-07-19 07:00:00,37.772685185185175
0.0,73.11,4.1000000000000005,28.1,2023-07-19 08:00:00,36.409259259259265
0.0,79.21000000000001,3.8,27.200000000000003,2023-07-19 09:00:00,35.26481481481482
0.0,84.48,3.6,26.4,2023-07-19 10:00:00,34.26574074074073
0.0,88.49,3.1,25.8,2023-07-19 11:00:00,33.41666666666667
0.0,92.0,2.7,25.200000000000003,2023-07-19 12:00:00,32.710185185185175
0.0,94.58,2.3000000000000003,24.700000000000003,2023-07-19 13:00:00,32.04814814814815
18.0,89.03,2.9000000000000004,25.4,2023-07-19 14:00:00,31.371759259259267
187.0,74.08,3.4000000000000004,27.4,2023-07-19 15:00:00,31.22222222222222
405.0,58.89,3.8,30.1,2023-07-19 16:00:00,32.27777777777777
