Solar_Radiation,Humidity,Wind_Speed,Air_Temperature,Date,Pavement_Temperature
44,68.68,2.7,30.8,2023-06-13 19:00:00,37.21574074074075
0,75.26,3.7,29.3,2023-06-13 20:00:00,35.400925925925925
0,83.35000000000001,3.7,27.8,2023-06-13 21:00:00,33.11342592592593
0,89.43,3.5,26.6,2023-06-13 22:00:00,31.319444444444443
0,93.02,3.3000000000000003,25.9,2023-06-13 23:00:00,30.075694444444437
0,95.87,2.8000000000000003,25.4,2023-06-14 00:00:00,29.383333333333333
0,97.28,2.4000000000000004,25.200000000000003,2023-06-14 01:00:00,29.116666666666664
0,97.85,2.5,25.1,2023-06-14 02:00:00,28.916203703703708
0,98.59,2.5,25.0,2023-06-14 03:00:00,28.76226851851852
0,98.84,2.4000000000000004,25.0,2023-06-14 04:00:00,28.549537037037037
0,99.44,2.4000000000000004,24.9,2023-06-14 05:00:00,28.400231481481484
39,95.88,2.9000000000000004,25.5,2023-06-14 06:00:00,28.103472222222226
213,85.56,3.5,27.0,2023-06-14 07:00:00,27.89166666666666
422,75.44,3.8,28.6,2023-06-14 08:00:00,28.655555555555562
347,67.84,3.8,30.1,2023-06-14 09:00:00,30.256018518518523
258,60.85,3.5,31.6,2023-06-14 10:00:00,31.94467592592593
603,54.73,3.2,33.0,2023-06-14 11:00:00,32.93634259259259
952,49.88,2.8000000000000003,34.2,2023-06-14 12:00:00,35.50416666666666
709,45.93,2.4000000000000004,35.300000000000004,2023-06-14 13:00:00,39.14097222222223
819,43.63,2.1,35.9,2023-06-14 14:00:00,42.38865740740741
693,42.71,1.9,36.0,2023-06-14 15:00:00,44.36597222222223
555,43.14,1.8,35.7,2023-06-14 16:00:00,44.98819444444444
332,45.89,1.8,34.800000000000004,2023-06-14 17:00:00,43.72847222222222
140,55.39,1.5,32.9,2023-06-14 18:00:00,41.75162037037037
50,74.04,1.0,30.200000000000003,2023-06-14 19:00:00,39.490046296296285
0,79.03,0.9,29.0,2023-06-14 20:00:00,37.112268518518526
0,82.72,0.9,28.200000000000003,2023-06-14 21:00:00,34.695601851851855
0,86.11,1.1,27.5,2023-06-14 22:00:00,31.959722222222222
0,90.31,1.4,26.9,2023-06-14 23:00:00,29.674999999999994
0,96.42,1.6,26.200000000000003,2023-06-15 00:00:00,28.474537037037035
0,100.0,1.6,25.8,2023-06-15 01:00:00,28.02060185185185
0,100.0,1.4,25.6,2023-06-15 02:00:00,27.891898148148147
0,100.0,1.2000000000000002,25.3,2023-06-15 03:00:00,27.796064814814812
0,100.0,1.1,25.200000000000003,2023-06-15 04:00:00,27.643518518518512
0,100.0,1.1,25.200000000000003,2023-06-15 05:00:00,27.524537037037028
36,97.48,2.3000000000000003,26.5,2023-06-15 06:00:00,27.44444444444444
209,87.53,2.5,28.0,2023-06-15 07:00:00,27.418981481481474
420,75.52,2.5,29.9,2023-06-15 08:00:00,27.80324074074074
205,65.58,2.6,31.8,2023-06-15 09:00:00,28.841203703703705
289,58.0,2.7,33.6,2023-06-15 10:00:00,30.208564814814814
385,50.91,2.8000000000000003,35.4,2023-06-15 11:00:00,31.311111111111103
963,45.7,2.9000000000000004,36.7,2023-06-15 12:00:00,32.601851851851855
964,41.92,2.7,37.7,2023-06-15 13:00:00,36.41666666666667
910,39.72,2.6,38.2,2023-06-15 14:00:00,42.52731481481482
806,38.16,2.6,38.400000000000006,2023-06-15 15:00:00,45.42083333333333
645,38.09,2.7,38.0,2023-06-15 16:00:00,45.95763888888889
451,40.0,2.8000000000000003,37.0,2023-06-15 17:00:00,44.845601851851846
