Solar_Radiation,Humidity,Wind_Speed,Air_Temperature,Date,Pavement_Temperature
50,31.47,1.5,32.9,2023-07-27 19:00:00,44.35462962962962
0,35.06,2.2,31.8,2023-07-27 20:00:00,42.53194444444445
0,39.41,3.3000000000000003,31.0,2023-07-27 21:00:00,39.984722222222224
0,46.75,4.2,29.700000000000003,2023-07-27 22:00:00,37.796296296296305
0,55.870000000000005,4.2,28.200000000000003,2023-07-27 23:00:00,36.03611111111112
0,63.620000000000005,3.5,27.1,2023-07-28 00:00:00,34.51574074074074
0,70.46000000000001,2.9000000000000004,26.3,2023-07-28 01:00:00,33.06203703703704
0,76.78,2.5,25.700000000000003,2023-07-28 02:00:00,31.952777777777776
0,82.66,1.8,25.1,2023-07-28 03:00:00,31.056944444444436
0,88.03,1.0,24.5,2023-07-28 04:00:00,30.35833333333333
0,93.14,0.7000000000000001,23.9,2023-07-28 05:00:00,29.74490740740741
9,88.59,1.6,24.8,2023-07-28 06:00:00,29.087962962962962
165,69.39,2.0,27.1,2023-07-28 07:00:00,28.531944444444445
382,44.65,2.4000000000000004,30.4,2023-07-28 08:00:00,28.85925925925926
594,31.72,2.5,33.4,2023-07-28 09:00:00,30.609259259259264
775,26.14,2.2,35.6,2023-07-28 10:00:00,33.42685185185185
909,23.32,2.2,37.3,2023-07-28 11:00:00,36.9425925925926
982,21.61,2.3000000000000003,38.5,2023-07-28 12:00:00,40.61435185185185
994,20.41,2.6,39.3,2023-07-28 13:00:00,44.17685185185185
939,19.7,2.9000000000000004,39.7,2023-07-28 14:00:00,47.234259259259254
821,19.33,3.1,39.6,2023-07-28 15:00:00,49.3162037037037
656,19.0,3.3000000000000003,39.0,2023-07-28 16:00:00,49.74953703703704
455,19.32,3.4000000000000004,37.9,2023-07-28 17:00:00,49.65555555555555
239,20.85,3.3000000000000003,36.3,2023-07-28 18:00:00,47.71805555555555
49,27.11,2.9000000000000004,33.1,2023-07-28 19:00:00,45.00509259259259
0,34.14,4.1000000000000005,31.3,2023-07-28 20:00:00,42.34861111111111
0,43.1,4.7,29.8,2023-07-28 21:00:00,39.874074074074066
0,51.98,4.4,28.4,2023-07-28 22:00:00,37.791666666666664
0,57.620000000000005,3.5,27.5,2023-07-28 23:00:00,36.08287037037037
0,62.04,2.7,26.700000000000003,2023-07-29 00:00:00,34.41064814814815
0,66.56,1.7000000000000002,25.8,2023-07-29 01:00:00,33.14027777777777
0,70.8,1.0,25.0,2023-07-29 02:00:00,32.156018518518515
0,74.77,0.7000000000000001,24.3,2023-07-29 03:00:00,31.33333333333333
0,77.79,0.6000000000000001,23.8,2023-07-29 04:00:00,30.535185185185178
0,80.37,0.6000000000000001,23.4,2023-07-29 05:00:00,29.786111111111108
10,75.25,1.0,24.6,2023-07-29 06:00:00,29.061574074074073
167,58.84,1.6,27.700000000000003,2023-07-29 07:00:00,28.442129629629626
384,41.34,2.2,30.9,2023-07-29 08:00:00,28.76481481481481
596,30.65,2.6,33.5,2023-07-29 09:00:00,30.479166666666664
778,25.82,2.8000000000000003,35.1,2023-07-29 10:00:00,33.37546296296296
912,22.92,2.9000000000000004,36.4,2023-07-29 11:00:00,36.801388888888894
993,21.37,2.9000000000000004,37.1,2023-07-29 12:00:00,40.212962962962955
1002,20.53,2.8000000000000003,37.4,2023-07-29 13:00:00,43.49027777777777
947,20.11,2.7,37.5,2023-07-29 14:00:00,46.264814814814805
827,19.8,2.7,37.5,2023-07-29 15:00:00,48.4425925925926
662,19.92,2.8000000000000003,37.0,2023-07-29 16:00:00,49.624074074074066
461,20.45,3.0,36.2,2023-07-29 17:00:00,49.125
242,22.37,2.7,34.7,2023-07-29 18:00:00,47.30138888888889
51,28.27,1.6,31.5,2023-07-29 19:00:00,44.614814814814814
0,31.56,2.1,30.5,2023-07-29 20:00:00,42.0412037037037
0,37.36,3.0,30.0,2023-07-29 21:00:00,40.004629629629626
0,47.09,3.3000000000000003,29.1,2023-07-29 22:00:00,38.15601851851852
0,57.98,3.2,28.1,2023-07-29 23:00:00,36.44722222222222
0,66.77,2.6,27.200000000000003,2023-07-30 00:00:00,34.94722222222223
0,73.01,2.0,26.5,2023-07-30 01:00:00,33.40648148148148
0,77.68,1.5,25.9,2023-07-30 02:00:00,32.41620370370371
0,81.74,1.1,25.4,2023-07-30 03:00:00,31.71342592592592
0,86.87,0.7000000000000001,24.700000000000003,2023-07-30 04:00:00,31.005092592592593
0,91.56,0.6000000000000001,24.1,2023-07-30 05:00:00,30.290740740740738
9,86.8,1.3,25.200000000000003,2023-07-30 06:00:00,29.697685185185183
162,72.12,2.0,27.5,2023-07-30 07:00:00,29.19212962962963
376,51.9,1.8,30.6,2023-07-30 08:00:00,29.556944444444444
507,36.86,1.6,33.6,2023-07-30 09:00:00,31.176851851851854
650,29.2,1.9,35.9,2023-07-30 10:00:00,33.650462962962955
895,24.9,2.1,37.6,2023-07-30 11:00:00,36.78564814814814
971,22.04,2.3000000000000003,38.900000000000006,2023-07-30 12:00:00,40.536111111111104
984,20.29,2.5,39.8,2023-07-30 13:00:00,44.088425925925925
931,19.27,2.5,40.2,2023-07-30 14:00:00,47.27592592592593
814,18.8,2.5,40.2,2023-07-30 15:00:00,49.472685185185185
559,19.01,2.5,39.6,2023-07-30 16:00:00,50.645833333333336
450,19.82,2.5,38.5,2023-07-30 17:00:00,50.4162037037037
232,21.86,2.0,36.8,2023-07-30 18:00:00,48.421296296296305
43,29.43,1.0,33.0,2023-07-30 19:00:00,45.68611111111111
0,32.71,1.2000000000000002,31.700000000000003,2023-07-30 20:00:00,43.02638888888888
0,36.76,1.6,30.9,2023-07-30 21:00:00,40.765277777777776
